C:\Users\nickb\PACCS\Scripts\python.exe C:/Users/nickb/PycharmProjects/PACCS_Data/course_blocks/real_blocks.py
0.1 76 ['UCOL1002', 'ECON1113', 'B AD1001'] 	 0.97 Freshman 	 0.43 Business-Undecided
0.21 76 ['PSY1113', 'BIOL1114', 'AHS1400'] 	 1.0 Freshman 	 0.41 Pre-Nursing Studies
0.09 75 ['UCOL1002', 'PSY1113', 'MATH1643'] 	 1.0 Freshman 	 0.24 Biology
0.55 75 ['P E4521', 'P E4323', 'P E3222'] 	 1.0 Senior 	 0.96 Petroleum Engineering
0.55 75 ['P E4521', 'GPHY3423', 'P E3222'] 	 1.0 Senior 	 0.96 Petroleum Engineering
0.1 75 ['ENGL1113', 'B AD1000', 'B AD1001'] 	 0.95 Freshman 	 0.45 Business-Undecided
0.19 75 ['B AD1010', 'B AD2091', 'B C2813'] 	 0.75 Sophomore 	 0.28 Accounting
0.08 74 ['UCOL1002', 'SOC1113', 'B AD1000'] 	 0.99 Freshman 	 0.45 Business-Undecided
0.54 74 ['P E4533', 'GPHY3423', 'P E3222'] 	 1.0 Senior 	 0.97 Petroleum Engineering
0.54 74 ['P E4323', 'GPHY3423', 'P E3222'] 	 0.99 Senior 	 0.96 Petroleum Engineering
0.14 74 ['ECON2843', 'B AD2091', 'PHIL1273'] 	 0.8 Sophomore 	 0.2 Accounting
0.19 74 ['B AD1010', 'MIS2113', 'B C2813'] 	 0.86 Sophomore 	 0.18 Accounting
0.12 74 ['B AD1010', 'ACCT2113', 'ECON1123'] 	 0.68 Sophomore 	 0.19 Finance
0.59 73 ['PHYS2524', 'CH E2002', 'CH E2033'] 	 0.66 Sophomore 	 0.58 Chemical Engineering-Standard
0.54 73 ['P E4323', 'P E4712', 'P E3222'] 	 1.0 Senior 	 0.96 Petroleum Engineering
0.54 73 ['P E4323', 'P E4533', 'P E3222'] 	 1.0 Senior 	 0.97 Petroleum Engineering
0.1 73 ['ECON1113', 'COMM1113', 'B AD1001'] 	 0.73 Freshman 	 0.4 Business-Undecided
0.1 72 ['MATH1743', 'ECON1113', 'B AD1001'] 	 0.76 Freshman 	 0.35 Business-Undecided
0.14 72 ['B AD1010', 'PHIL1273', 'MATH2123'] 	 0.75 Sophomore 	 0.26 Finance
0.18 72 ['B AD1010', 'ACCT2113', 'B C2813'] 	 0.85 Sophomore 	 0.22 Marketing
0.1 71 ['UCOL1002', 'MATH1643', 'B AD1001'] 	 0.99 Freshman 	 0.48 Business-Undecided
0.13 71 ['PSY1113', 'BIOL1114', 'MATH1503'] 	 0.97 Freshman 	 0.56 Pre-Nursing Studies
0.52 71 ['P E4712', 'GPHY3423', 'P E3222'] 	 1.0 Senior 	 0.96 Petroleum Engineering
0.09 71 ['ENGL1113', 'MATH1643', 'COMM1113'] 	 0.97 Freshman 	 0.51 Business-Undecided
0.18 71 ['ENGL1113', 'CHEM1315', 'MATH1823'] 	 1.0 Freshman 	 0.2 Mechanical Engineering
0.13 71 ['ECON2843', 'MIS2113', 'PHIL1273'] 	 0.87 Sophomore 	 0.23 Accounting
0.08 70 ['UCOL1002', 'SOC1113', 'MATH1643'] 	 1.0 Freshman 	 0.39 Business-Undecided
0.19 70 ['UCOL1002', 'PSY1113', 'AHS1400'] 	 0.99 Freshman 	 0.31 Pre-Nursing Studies
0.12 70 ['ENGL1113', 'CHEM1315', 'MATH1523'] 	 0.99 Freshman 	 0.17 Mechanical Engineering
0.08 69 ['UCOL1002', 'MATH1743', 'ECON1113'] 	 0.97 Freshman 	 0.43 Business-Undecided
0.11 69 ['ACCT2113', 'B AD1001', 'ECON2843'] 	 0.64 Sophomore 	 0.2 Finance
