10 ['UCOL1002', 'B AD1000', 'ECON1113', 'ENGL1213'] 1.0 Freshman 0.3 Business-Undecided
10 ['SOC1113', 'MATH1743', 'B AD1001', 'ECON1123'] 0.9 Freshman 0.3 Accounting
10 ['SOC1113', 'MATH1643', 'ECON1113', 'COMM1113'] 1.0 Freshman 0.7 Business-Undecided
10 ['SOC1113', 'B AD1000', 'MATH1643', 'ECON1123'] 1.0 Freshman 0.5 Business-Undecided
10 ['PSY1113', 'MATH1743', 'ECON1113', 'COMM1113'] 1.0 Freshman 0.5 Finance
10 ['PSY1113', 'B AD1000', 'MATH1643', 'COMM1113'] 1.0 Freshman 0.5 Business-Undecided
10 ['P SC1113', 'B AD1010', 'ACCT2113', 'ECON1123'] 0.6 Sophomore 0.3 Finance
10 ['MATH1743', 'B AD1010', 'ACCT2113', 'HES2823'] 0.6 Sophomore 0.2 Finance
10 ['MATH1743', 'B AD1000', 'MUNM1113', 'B AD1001'] 1.0 Freshman 0.4 Business-Undecided
10 ['MATH1743', 'B AD1000', 'ACCT2113', 'B AD1001'] 0.7 Sophomore 0.3 Business-Undecided
10 ['MATH1743', 'ACCT2113', 'B AD1001', 'MIS2113'] 0.9 Sophomore 0.4 Finance
10 ['ENGL1113', 'UCOL1002', 'SOC1113', 'HIST1493'] 1.0 Freshman 0.4 Undecided-Degree Seeking
10 ['ENGL1113', 'UCOL1002', 'PSY1113', 'MUNM1113'] 1.0 Freshman 0.2 Computer Science
10 ['ENGL1113', 'UCOL1002', 'P SC1113', 'SOC1113'] 1.0 Freshman 0.3 Business-Undecided
10 ['ENGL1113', 'UCOL1002', 'P SC1113', 'ENGR1411'] 1.0 Freshman 0.4 Computer Science
10 ['ENGL1113', 'UCOL1002', 'MATH1743', 'ECON1123'] 0.9 Freshman 0.3 Finance
10 ['ENGL1113', 'SOC1113', 'MATH1643', 'ECON1113'] 1.0 Freshman 0.4 Business-Undecided
10 ['ENGL1113', 'PSY1113', 'MATH1643', 'COMM1113'] 1.0 Freshman 0.6 Business-Undecided
10 ['ENGL1113', 'P SC1113', 'B AD1000', 'COMM1113'] 1.0 Freshman 0.5 Business-Undecided
10 ['ENGL1113', 'MATH1643', 'COMM1113', 'HIST1493'] 1.0 Freshman 0.6 Business-Undecided
10 ['ECON1113', 'COMM1113', 'ACCT2113', 'B AD1001'] 0.6 Sophomore 0.3 Business-Undecided
10 ['COMM1113', 'ACCT2113', 'B AD1001', 'MIS2113'] 0.9 Sophomore 0.2 Academic Affairs-Exploratory
10 ['B AD1010', 'MUNM1113', 'ECON2843', 'MIS2113'] 1.0 Sophomore 0.3 Accounting
10 ['B AD1010', 'COMM1113', 'ECON2843', 'MIS2113'] 0.8 Sophomore 0.3 Academic Affairs-Exploratory
10 ['B AD1000', 'ACCT2113', 'B AD1001', 'ECON1123'] 0.4 Freshman 0.3 Management Info Systems
